,datetime,lat_eclipse_path,lon_eclipse_path
333537,8/21/2017 16:02,44.9125,-127.0554
335774,8/21/2017 16:07,44.6433,-120.2555
337079,8/21/2017 16:12,44.1439,-114.7759
338730,8/21/2017 16:17,43.5128,-110.1684
340368,8/21/2017 16:22,42.7849,-106.1539
342052,8/21/2017 16:27,41.9913,-102.6077
342533,8/21/2017 16:32,41.1628,-99.4351
344135,8/21/2017 16:37,40.3006,-96.5513
346765,8/21/2017 16:42,39.4163,-93.9129
347950,8/21/2017 16:47,38.522,-91.4796
348948,8/21/2017 16:52,37.6171,-89.2129
351635,8/21/2017 16:57,36.7094,-87.0797
353598,8/21/2017 17:02,35.7978,-85.0702
354794,8/21/2017 17:07,34.888,-83.1584
356450,8/21/2017 17:12,33.9784,-81.3257
358188,8/21/2017 17:17,33.0688,-79.5552
359881,8/21/2017 17:22,32.163,-77.8404
