,datetime,lat,lon,min_tec
333537,8/21/2017 16:02,42,-62,4.45986
335774,8/21/2017 16:07,50,-90,5.8416
337079,8/21/2017 16:12,44,-63,5.08079
338730,8/21/2017 16:17,44,-63,5.01359
340368,8/21/2017 16:22,44,-63,5.17147
342052,8/21/2017 16:27,45,-62,4.93628
342533,8/21/2017 16:32,24,-103,4.93071
344135,8/21/2017 16:37,24,-103,1.50161
346765,8/21/2017 16:42,44,-65,4.60546
347950,8/21/2017 16:47,38,-124,5.55787
348948,8/21/2017 16:52,24,-89,4.42338
351635,8/21/2017 16:57,44,-62,4.92552
353598,8/21/2017 17:02,50,-124,4.74815
354794,8/21/2017 17:07,43,-125,4.69626
356450,8/21/2017 17:12,43,-125,4.69406
358188,8/21/2017 17:17,44,-125,4.46497
359881,8/21/2017 17:22,44,-125,4.05775
361596,8/21/2017 17:27,44,-125,4.03472
362892,8/21/2017 17:32,36,-71,2.86356
365363,8/21/2017 17:37,48,-125,4.37964
367285,8/21/2017 17:42,50,-113,3.88815
369053,8/21/2017 17:47,50,-125,3.68392
370589,8/21/2017 17:52,46,-109,4.34573
372537,8/21/2017 17:57,49,-111,4.31328
374272,8/21/2017 18:02,49,-123,4.38677
375692,8/21/2017 18:07,44,-102,4.10151
377412,8/21/2017 18:12,44,-102,4.12602
379061,8/21/2017 18:17,43,-101,4.16185
380772,8/21/2017 18:22,43,-101,3.9886
382861,8/21/2017 18:27,49,-84,2.16628
384136,8/21/2017 18:32,43,-100,4.2923
386203,8/21/2017 18:37,48,-89,3.96724
388027,8/21/2017 18:42,49,-88,4.41359
388816,8/21/2017 18:47,33,-89,3.79576
390587,8/21/2017 18:52,33,-88,4.19218
392379,8/21/2017 18:57,33,-64,4.34483
394175,8/21/2017 19:02,33,-64,4.20973
395595,8/21/2017 19:07,26,-86,4.40803
397428,8/21/2017 19:12,26,-86,4.37363
399338,8/21/2017 19:17,27,-81,3.8828
401121,8/21/2017 19:22,26,-80,2.83041
402936,8/21/2017 19:27,26,-80,2.89092
404796,8/21/2017 19:32,27,-65,3.31578
406555,8/21/2017 19:37,27,-65,3.3647
408134,8/21/2017 19:42,24,-80,3.40178
409844,8/21/2017 19:47,24,-80,3.49105
411682,8/21/2017 19:52,27,-63,4.50312
413230,8/21/2017 19:57,23,-74,3.9791
414945,8/21/2017 20:02,23,-74,4.1277
416643,8/21/2017 20:07,23,-74,4.28852
418380,8/21/2017 20:12,23,-74,4.44179
420116,8/21/2017 20:17,23,-73,4.6548
423426,8/21/2017 20:22,50,-81,1.75711
423625,8/21/2017 20:27,23,-73,5.15099
